episode,task_id,episode_reward,mean_queue,mean_wait,final_score,throughput,throughput_efficiency,step_count,latency_ms,is_hallucinated,is_all_keep,is_valid_action,has_central_action,raw_completion,reward_breakdown.queue_reward,reward_breakdown.wait_reward,reward_breakdown.throughput_reward,reward_breakdown.switch_penalty_reward,reward_breakdown.central_reward,reward_breakdown.stability_bonus,reward_breakdown.coordination_bonus,reward_breakdown.fairness_reward,reward_breakdown.total,action.local_actions.NW,action.local_actions.NE,action.local_actions.SW,action.local_actions.SE,action.central_action.balance_penalty,action.central_action.switch_penalty,action.central_action.queue_urgency_weight,action.central_action.corridor_priority,action.central_action.emergency_boost
1,medium_dynamic,3.096841983969957,,97.17,0.50739,13.527,0.4315,30,24.03092384338379,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""balance_penalty"":0.3,""switch_penalty"":0.2}}",0.1343,-0.22,-0.0368,-0.02,0.0745,0.0367,0.004,0.0148,-0.0125,PHASE_2,SWITCH,KEEP,PHASE_0,0.3,0.2,,,
2,medium_dynamic,0.36973838407843884,,94.064,0.441705,14.008,0.3931,30,32.080650329589844,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""switch_penalty"":0.3,""queue_urgency_weight"":0.2}}",0.1446,-0.22,-0.0317,-0.02,-0.04,0.0356,0.004,0.0127,-0.1147,PHASE_2,PHASE_3,SWITCH,KEEP,,0.3,0.2,,
3,medium_dynamic,2.8033361630818967,,104.353,0.49076000000000003,15.064,0.5039,30,19.7908878326416,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_3"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""balance_penalty"":0.4,""switch_penalty"":0.3}}",0.1191,-0.22,-0.0205,-0.05,0.0375,0.0388,-0.02,0.0196,-0.0956,PHASE_3,SWITCH,KEEP,PHASE_0,0.4,0.3,,,
4,medium_dynamic,0.396063785041585,,94.069,0.44077000000000005,14.008,0.3919,30,25.830745697021484,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""balance_penalty"":0.4,""switch_penalty"":0.2}}",0.1446,-0.22,-0.0317,-0.02,-0.04,0.0355,0.004,0.0127,-0.1148,PHASE_2,PHASE_3,SWITCH,KEEP,0.4,0.2,,,
5,medium_dynamic,2.009150231049607,,89.187,0.47391999999999995,13.522,0.5233,30,23.240327835083008,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1434,-0.22,-0.0368,-0.02,-0.04,0.0325,-0.02,0.0095,-0.1515,PHASE_1,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
6,medium_dynamic,-1.4131024077136414,,104.667,0.39516,15.39,0.3332,30,25.44856071472168,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_0"",""NE"":""SWITCH"",""SW"":""PHASE_2"",""SE"":""PHASE_3""},""central_action"":{""switch_penalty"":0.3,""queue_urgency_weight"":0.3}}",0.1245,-0.22,-0.017,-0.04,0.0282,0.0392,-0.04,0.0198,-0.1053,PHASE_0,SWITCH,PHASE_2,PHASE_3,,0.3,0.3,,
7,medium_dynamic,0.9888307785806104,,91.01,0.44584,14.521,0.5126,30,24.080276489257812,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""PHASE_3"",""SE"":""KEEP""},""central_action"":{""switch_penalty"":0.3,""queue_urgency_weight"":0.2}}",0.1391,-0.22,-0.0262,-0.03,-0.0307,0.0315,-0.04,0.0107,-0.1656,PHASE_1,SWITCH,PHASE_3,KEEP,,0.3,0.2,,
8,medium_dynamic,2.6713383380901323,,102.299,0.465385,14.523,0.4505,30,24.879932403564453,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_0"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_1""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1328,-0.22,-0.0262,-0.04,0.0905,0.0346,-0.04,0.0182,-0.0501,PHASE_0,SWITCH,KEEP,PHASE_1,,,0.4,0.3,
9,medium_dynamic,2.009150231049607,,89.187,0.47391999999999995,13.522,0.5233,30,24.266481399536133,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1434,-0.22,-0.0368,-0.02,-0.04,0.0325,-0.02,0.0095,-0.1515,PHASE_1,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
10,medium_dynamic,-1.2729583998857295,,102.735,0.41839,10.227,0.3185,30,22.523880004882812,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_0"",""NE"":""PHASE_1"",""SW"":""PHASE_2"",""SE"":""SWITCH""},""central_action"":{""corridor_priority"":0.5,""balance_penalty"":0.2}}",0.1192,-0.22,-0.0717,-0.05,0.0401,0.0366,0.004,0.0185,-0.1234,PHASE_0,PHASE_1,PHASE_2,SWITCH,0.2,,,0.5,
11,medium_dynamic,0.23153902466142867,,103.542,0.49207500000000004,10.903,0.3756,30,24.84726905822754,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_0"",""NE"":""PHASE_1"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.3}}",0.1269,-0.22,-0.0646,-0.05,0.1044,0.024,0.004,0.019,-0.0562,PHASE_0,PHASE_1,SWITCH,KEEP,,,0.3,0.5,
12,medium_dynamic,-1.3073597886186623,,102.012,0.41766000000000003,10.612,0.3243,30,26.785850524902344,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_0"",""NE"":""PHASE_1"",""SW"":""PHASE_2"",""SE"":""SWITCH""},""central_action"":{""switch_penalty"":0.3,""queue_urgency_weight"":0.4}}",0.1202,-0.22,-0.0676,-0.05,0.0361,0.0363,0.004,0.018,-0.1231,PHASE_0,PHASE_1,PHASE_2,SWITCH,,0.3,0.4,,
13,medium_dynamic,-0.8641933824662072,,97.969,0.40664,14.774,0.4194,30,24.19114112854004,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""SWITCH"",""NE"":""KEEP"",""SW"":""PHASE_0"",""SE"":""PHASE_1""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1323,-0.22,-0.0236,-0.04,-0.04,0.0317,-0.04,0.0153,-0.1842,SWITCH,KEEP,PHASE_0,PHASE_1,,,0.5,0.3,
14,medium_dynamic,2.9740671640214784,,112.5,0.51797,11.768,0.2876,30,27.155637741088867,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.2}}",0.1275,-0.22,-0.0554,-0.03,0.16,0.04,0.004,0.025,0.0511,PHASE_2,PHASE_3,KEEP,PHASE_0,,,0.2,0.5,
15,medium_dynamic,2.502472024802279,,97.514,0.48672000000000004,14.221,0.4314,30,23.972272872924805,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""PHASE_3"",""SE"":""KEEP""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.2}}",0.1328,-0.22,-0.0294,-0.03,0.0769,0.039,-0.016,0.015,-0.0317,PHASE_2,SWITCH,PHASE_3,KEEP,,,0.2,0.5,
