central_action_size,episode,episode_reward,final_score,has_central_action,is_all_keep,is_hallucinated,is_recovered,is_valid_action,mean_queue,mean_wait,raw_completion,reward_breakdown_central_reward,reward_breakdown_coordination_bonus,reward_breakdown_fairness_reward,reward_breakdown_queue_reward,reward_breakdown_stability_bonus,reward_breakdown_switch_penalty_reward,reward_breakdown_throughput_reward,reward_breakdown_total,reward_breakdown_wait_reward,step_count,step_latency_ms,task_id,throughput,throughput_efficiency
1,1,1.3967348824075847,0.4695800000000001,1.0,0.0,0.0,0.0,1.0,0.0,79.016,,-0.04,-0.02,0.0027,0.1489,0.0291,-0.03,0.1342,0.0049,-0.22,25,182.80363082885742,medium_dynamic,29.676,0.4969
2,2,0.7947746225930447,0.46160499999999993,1.0,0.0,0.0,0.0,1.0,0.0,106.414,,0.0746,-0.02,0.0209,0.1174,0.0152,-0.07,0.0389,-0.043,-0.22,25,166.72611236572266,medium_dynamic,20.672,0.3858
2,3,0.10079982825461994,0.43504500000000007,1.0,0.0,0.0,0.0,1.0,0.0,93.604,,-0.04,-0.016,0.0124,0.1439,-0.0014,-0.03,-0.0566,-0.2076,-0.22,25,169.99363899230957,medium_dynamic,11.655,0.3412
2,4,1.1140011884474896,0.448055,1.0,0.0,0.0,0.0,1.0,0.0,93.821,,-0.04,-0.016,0.0125,0.1437,-0.0053,-0.03,-0.045,-0.2,-0.22,25,173.98881912231445,medium_dynamic,12.755,0.4
1,5,-0.05524075389588959,0.42612999999999995,1.0,0.0,0.0,0.0,1.0,0.0,88.53,,-0.04,-0.02,0.009,0.1424,0.0189,-0.04,-0.0353,-0.1849,-0.22,25,171.55957221984863,medium_dynamic,13.668,0.4447
2,6,3.920636789854898,0.514555,1.0,0.0,0.0,1.0,0.0,0.0,98.23,,0.0443,0.016,0.0155,0.1367,0.038,-0.04,0.0925,0.083,-0.22,25,172.09625244140625,medium_dynamic,25.737,0.468
2,7,-1.8657894811846334,0.380125,1.0,0.0,0.0,0.0,1.0,0.0,103.716,,-0.0189,-0.04,0.0191,0.125,0.0347,-0.05,-0.0596,-0.2098,-0.22,25,190.29927253723145,medium_dynamic,11.369,0.2773
0,8,-6.0,,0.0,0.0,1.0,0.0,0.0,,,"{""local_actions"":{""NW"":""PHASE_0"",""SW"":""PHASE_0"",""NE"":""PHASE_1"",""SE"":""PHASE_2""},""central_action"":{""queue_urgency_weight"":0.2,wheel_prob"":0.3}}",,,,,,,,,,0,,medium_dynamic,,
3,9,-1.8777000442096061,0.41250999999999993,1.0,0.0,0.0,0.0,1.0,0.0,115.771,,0.0572,-0.02,0.0272,0.1125,0.0365,-0.07,-0.0883,-0.1649,-0.22,25,168.6990261077881,medium_dynamic,8.665,0.207
2,10,2.122704287570112,0.52608,1.0,0.0,0.0,1.0,0.0,0.0,112.5,,0.16,0.004,0.025,0.1275,0.0398,-0.03,-0.1087,-0.0024,-0.22,25,171.4768409729004,medium_dynamic,6.734,0.2952
2,11,1.9829173075498507,0.43866499999999997,1.0,0.0,0.0,0.0,1.0,0.0,96.523,,0.0027,-0.016,0.0143,0.14,0.0334,-0.02,-0.0544,-0.1201,-0.22,25,169.4624423980713,medium_dynamic,11.861,0.4305
0,12,-6.0,,0.0,0.0,1.0,0.0,0.0,,,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SHUT_DOWN"",""SE"":"" Switch_penalty"":0.5}}",,,,,,,,,,0,,medium_dynamic,,
2,13,1.924392061561632,0.4911,1.0,0.0,0.0,0.0,1.0,0.0,112.5,,0.16,-0.016,0.025,0.1275,0.04,-0.03,-0.1119,-0.0254,-0.22,25,169.42667961120605,medium_dynamic,6.434,0.2663
1,14,0.6362342712880639,0.45613499999999996,1.0,0.0,0.0,0.0,1.0,0.0,112.5,,0.16,-0.04,0.025,0.1275,0.04,-0.03,-0.1106,-0.0482,-0.22,25,170.10235786437988,medium_dynamic,6.553,0.2336
0,15,-6.0,,0.0,0.0,1.0,0.0,0.0,,,"{""local_actions"":{""NW"":""SWITCH"",""NE"":""PHASE_2"",""SW"":""PHASE_0"",""SE"":""KEEP""},""central_action"":{""queue_urgency_weight"":0.4,v"":""balance_penalty"",r"":0.6}}",,,,,,,,,,0,,medium_dynamic,,
2,16,2.5012754807994484,0.4714,1.0,0.0,0.0,0.0,1.0,0.0,99.909,,0.0785,-0.04,0.0166,0.134,0.0302,-0.03,-0.076,-0.1068,-0.22,25,183.32314491271973,medium_dynamic,9.823,0.3896
2,17,2.1697766640761147,0.491025,1.0,0.0,0.0,0.0,1.0,0.0,69.991,,-0.04,-0.02,-0.0033,0.1621,-0.001,-0.02,0.17,0.0278,-0.22,25,166.41592979431152,medium_dynamic,33.058,0.5459
3,18,-1.6508474187694469,0.41306,1.0,0.0,0.0,0.0,1.0,0.0,115.509,,0.0646,-0.02,0.027,0.1136,0.0366,-0.06,-0.083,-0.1412,-0.22,25,169.05617713928223,medium_dynamic,9.162,0.2148
2,19,1.988070795333354,0.43939000000000006,1.0,0.0,0.0,0.0,1.0,0.0,96.651,,0.0045,-0.016,0.0144,0.1398,0.0333,-0.02,-0.0544,-0.1183,-0.22,25,169.99483108520508,medium_dynamic,11.861,0.4282
2,20,0.49485770340546265,0.385685,1.0,0.0,0.0,0.0,1.0,0.0,98.587,,0.0447,-0.04,0.0157,0.1601,0.0341,-0.05,-0.0306,-0.086,-0.22,25,167.14930534362793,hard_multi,14.109,0.1929
0,21,-0.6768329405173159,0.466055,0.0,0.0,0.0,0.0,1.0,0.0,98.349,,0.0303,-0.04,0.0156,0.1621,0.0296,-0.03,0.0429,-0.0096,-0.22,25,169.13437843322754,hard_multi,21.051,0.2445
2,22,0.41336777512451317,0.4902950000000001,1.0,0.0,0.0,0.0,1.0,0.0,92.41,,0.0224,0.004,0.0116,0.1643,0.0009,-0.04,-0.0255,-0.0824,-0.22,25,173.02298545837402,hard_multi,14.592,0.2548
2,23,2.403158414869944,0.43698,1.0,0.0,0.0,0.0,1.0,0.0,96.909,,0.0964,-0.04,0.0146,0.1703,0.0247,-0.02,0.0067,0.0328,-0.22,25,170.59326171875,hard_multi,17.636,0.2331
2,24,0.5010641832466349,0.4636100000000001,1.0,0.0,0.0,1.0,0.0,0.0,90.983,,0.0518,-0.016,0.0107,0.1741,0.0352,-0.03,0.1124,0.1181,-0.22,25,166.43977165222168,hard_multi,27.615,0.3151
2,25,0.5700117844219199,0.385325,1.0,0.0,0.0,0.0,1.0,0.0,98.439,,0.0454,-0.04,0.0156,0.1602,0.0345,-0.04,-0.0299,-0.0741,-0.22,25,168.57171058654785,hard_multi,14.181,0.1944
1,26,-0.06528963823336026,0.417525,1.0,0.0,0.0,0.0,1.0,0.0,95.233,,-0.094,0.016,0.0135,0.1668,0.0251,-0.05,0.1279,-0.0148,-0.22,25,168.73741149902344,hard_multi,29.075,0.22
2,27,0.49485770340546265,0.385685,1.0,0.0,0.0,0.0,1.0,0.0,98.587,,0.0447,-0.04,0.0157,0.1601,0.0341,-0.05,-0.0306,-0.086,-0.22,25,166.57495498657227,hard_multi,14.109,0.1929
1,28,-1.6981603885209704,0.34395499999999996,1.0,0.0,0.0,0.0,1.0,0.0,96.627,,-0.1385,-0.016,0.0144,0.1618,0.0222,-0.04,-0.007,-0.2232,-0.22,25,165.388822555542,hard_multi,16.336,0.2051
2,29,0.9202842271409395,0.4742,1.0,0.0,0.0,1.0,0.0,0.0,69.563,,-0.0748,0.016,-0.0036,0.1794,0.0342,-0.02,0.18,0.0911,-0.22,25,166.9762134552002,hard_multi,39.193,0.3585
2,30,0.42309996233488256,0.387195,1.0,0.0,0.0,0.0,1.0,0.0,98.257,,0.0449,-0.04,0.0155,0.16,0.036,-0.05,-0.0311,-0.0848,-0.22,25,178.74574661254883,hard_multi,14.059,0.1909
0,31,-6.0,,0.0,0.0,1.0,0.0,0.0,,,"{""local_actions"":{""NW"":"" switched"",""NE"":"" SWITCH""},""central_action"":{""balance_penalty"":0.3"",""emergency_boost"":0.2}}",,,,,,,,,,0,,hard_multi,,
2,32,-0.08298348200928521,0.43226,1.0,0.0,0.0,0.0,1.0,0.0,97.966,,0.0368,-0.004,0.0153,0.1598,0.0385,-0.04,0.068,0.0544,-0.22,25,166.0478115081787,hard_multi,23.42,0.2038
2,33,0.08367679014979312,0.450495,1.0,0.0,0.0,1.0,0.0,0.0,94.085,,-0.0665,0.016,0.0127,0.1727,0.0373,-0.04,0.1586,0.0709,-0.22,25,175.67753791809082,hard_multi,31.982,0.273
2,34,-0.8053828813263137,0.426485,1.0,0.0,0.0,1.0,0.0,0.0,93.421,,-0.0768,-0.02,0.0123,0.1748,0.0385,-0.02,0.0113,-0.0999,-0.22,25,165.8456325531006,hard_multi,18.07,0.271
2,35,-1.5130656083792902,0.36882000000000004,1.0,0.0,0.0,1.0,0.0,0.0,95.318,,-0.1197,-0.016,0.0135,0.1665,0.0177,-0.03,0.1029,-0.0851,-0.22,25,168.8246726989746,hard_multi,26.717,0.2568
2,36,-0.022527682521795683,0.41858499999999993,1.0,0.0,0.0,0.0,1.0,0.0,95.238,,-0.093,0.016,0.0135,0.1669,0.0273,-0.05,0.1282,-0.0111,-0.22,25,174.8368740081787,hard_multi,29.107,0.2198
